id,family,angle_deg,length_px,length_cm,x,y,width,height
F2-01,F2,110.1,1147,114.7,20,0,431,800
F1-01,F1,26.8,93,9.3,696,24,58,35
F2-03,F2,119.8,1293,129.3,431,77,457,723
F2-04,F2,154.5,947,94.7,488,80,302,181
F1-02,F1,49.9,36,3.6,595,98,21,22
F1-03,F1,25.8,42,4.2,674,127,30,17
F2-06,F2,141.0,68,6.8,641,157,42,36
F2-08,F2,145.0,1708,170.8,467,401,533,392
F1-04,F1,25.6,30,3.0,954,699,19,13
F2-10,F2,147.3,92,9.2,887,720,61,39
